시도,시군구,읍면동,상세주소,특수지명,블록,로트,건물명,동명,통계용도,대지면적(㎡),건축면적(㎡),연면적(㎡),지하층수(층),지상층수(층),허가일자,착공일자,사용승인일자,동용도
부산광역시,기장군,기장읍 청강리,333,,,,청강주공아파트,201동,주거용 > 공동주택 > 아파트,0,364.32,2353.97,0,5,1989-05-01,,1990-10-08,공동주택
부산광역시,기장군,일광면 동백리,217,,,,,,주거용 > 단독주택 > 단독주택,0,64.79,64.79,0,1,,,197705,단독주택
부산광역시,기장군,정관읍 월평리,229-1,,,,,,주거용 > 단독주택 > 단독주택,148,85.63,129.7,0,2,,,,단독주택
부산광역시,기장군,장안읍 월내리,23,,,,장안읍 월내리 23 단독주택 (이만우),주건축물제1동,주거용 > 단독주택 > 단독주택,152,76.07,76.07,0,1,,,1978,단독주택
부산광역시,기장군,일광면 이천리,210-2,,,,,,주거용 > 단독주택 > 단독주택,0,20.43,0,0,0,,,1941-04-01,단독주택
부산광역시,기장군,장안읍 명례리,779-13,,,,,,주거용 > 단독주택 > 단독주택,823,150.8,150.8,0,1,1995-03-27,1995-10-27,1997-03-31,단독주택
부산광역시,기장군,일광면 동백리,218,,,,,,주거용 > 단독주택 > 단독주택,0,80.79,80.79,0,1,,,1970-04-07,단독주택
부산광역시,기장군,장안읍 반룡리,467,,,,,,주거용 > 단독주택 > 단독주택,0,36.5,36.5,0,1,1993-10-02,,1994-02-08,단독주택
부산광역시,기장군,일광면 동백리,219-1,,,,,,주거용 > 단독주택 > 단독주택,1440,81.94,79.31,0,1,2000-05-12,2000-05-17,2000-07-21,단독주택
부산광역시,기장군,철마면 와여리,401,,,,,,주거용 > 단독주택 > 단독주택,0,0,24.5,0,1,1993-07-01,,1993-09-17,단독주택
부산광역시,기장군,일광면 학리,265-6,,,,.,,주거용 > 단독주택 > 단독주택,181,81.72,81.72,0,1,1992-06-22,,1992-08-28,단독주택
부산광역시,기장군,철마면 송정리,319-1,,,,,,주거용 > 단독주택 > 단독주택,1861,326.4,326.4,0,1,,,1967,단독주택
부산광역시,기장군,일광면 화전리,105-3,,,,,B동,주거용 > 단독주택 > 단독주택,741,47.18,47.18,0,1,2002-03-22,2002-04-08,2002-05-16,단독주택
부산광역시,기장군,장안읍 좌천리,162-3,,,,,,주거용 > 단독주택 > 단독주택,0,60.54,60.54,0,1,,,,단독주택
부산광역시,기장군,일광면 동백리,220,,,,,,주거용 > 단독주택 > 단독주택,0,48.86,48.86,0,1,,,1977-06-15,단독주택
부산광역시,기장군,장안읍 기룡리,738,,,,,,주거용 > 단독주택 > 단독주택,208,96.8,96.8,0,1,1991-07-19,,1991-08-02,단독주택
부산광역시,기장군,일광면 이천리,458-3,,,,,,주거용 > 단독주택 > 단독주택,0,0,58.41,0,0,1983-04-08,1983-04-10,1983-09-14,단독주택
부산광역시,기장군,철마면 송정리,210,,,,,,주거용 > 단독주택 > 단독주택,284,98.33,98.33,0,1,,,,단독주택
부산광역시,기장군,일광면 이천리,370-2,,,,,,주거용 > 단독주택 > 단독주택,0,42.38,42.38,0,1,,,1969,단독주택
부산광역시,기장군,기장읍 대변리,582,,,,,,주거용 > 단독주택 > 단독주택,135,66.6,128.49,0,2,1987-05-23,,1987-07-21,단독주택
부산광역시,기장군,일광면 동백리,221,,,,,,주거용 > 단독주택 > 단독주택,0,39.39,39.39,0,1,,,1957-03-02,단독주택
