소방서이름,상세주소,주소,y,x,위도,경도
연일119안전센터,경상북도 포항시 남구 연일읍 철강로 10,경상북도 포항시 남구 연일읍 철강로 10,129.344144113,35.991619355,35.99162785,129.3441331
효자119안전센터,경상북도 포항시 남구 지곡로212번길 45,경상북도 포항시 남구 지곡로212번길 45,129.325538781,36.029468803,36.02948435,129.3254897
오천119안전센터,경상북도 포항시 남구 오천읍 해병로 369,경상북도 포항시 남구 오천읍 해병로 369,129.409537816,35.962773774,35.9807647,129.4071294
구룡포119안전센터,경상북도 포항시 남구 구룡포읍 호미로 265,경상북도 포항시 남구 구룡포읍 호미로 265,129.559387160,35.991030284,35.9878061,129.5514787
울릉119안전센터,경상북도 울릉군 울릉읍 울릉순환로 415,경상북도 울릉군 울릉읍 울릉순환로 415,130.898162513,37.484212944,37.4667019,130.8799866
황오119안전센터,경상북도 경주시 알천남로 276,경상북도 경주시 알천남로 276,129.228419533,35.844068795,35.8413918,129.2364842
동부119안전센터,경상북도 경주시 중앙로 59,경상북도 경주시 중앙로 59,129.211478741,35.845230998,35.8432463,129.2116586
보문119안전센터,경상북도 경주시 경감로 587-8,경상북도 경주시 경감로 587-8,129.287084516,35.834977913,35.8331602,129.2926403
안강119안전센터,경상북도 경주시 안강읍 안강중앙로 146,경상북도 경주시 안강읍 안강중앙로 146,129.215909305,35.993239149,35.9932552,129.2173644
감포119안전센터,경상북도 경주시 감포읍 동해안로 2153,경상북도 경주시 감포읍 동해안로 2153,129.493849199,35.799002498,35.78871,129.49064
외동119안전센터,경상북도 경주시 외동읍 입실로1길 78-15,경상북도 경주시 외동읍 입실로1길 78-15,129.327306811,35.716827729,35.7147985,129.3268933
건천119안전센터,경상북도 경주시 건천읍 내서로 1065,경상북도 경주시 건천읍 내서로 1065,129.100208868,35.852955151,35.8244646,129.1311149
용황119안전센터,경상북도 경주시 공단로 25,경상북도 경주시 공단로 25,129.217053456,35.875346586,35.8733799,129.2199469
불국사119안전센터,경상북도 경주시 불국신택지4길 4,경상북도 경주시 불국신택지4길 4,129.327479491,35.783851631,35.7843574,129.3266715
양금119안전센터,경상북도 김천시 강변로 219(양천동),경상북도 김천시 강변로 219,128.122575056,36.106783549,36.1216969,128.1299351
다수119안전센터,경상북도 김천시 영남대로 1246,경상북도 김천시 영남대로 1246,128.072864173,36.127389531,36.118403,128.1465379
대광119안전센터,경상북도 김천시 공단로 152-36,경상북도 김천시 공단로 152-36,128.138012951,36.148388148,36.1388985,128.1394378
지례119안전센터,경상북도 김천시 지례면 장터길 115,경상북도 김천시 지례면 장터길 115,128.030582111,35.990070109,35.9875035,128.0291773
아포119안전센터,경상북도 김천시 아포읍 아포공단길 45,경상북도 김천시 아포읍 아포공단길 45,128.254676951,36.166462823,36.1665543304616,128.25497221683
율곡119안전센터,경상북도 김천시 혁신7로 46,경상북도 김천시 혁신7로 46,128.176222588,36.125666442,36.1259404,128.1784456
법흥119안전센터,경상북도 안동시 육사로 301,경상북도 안동시 육사로 301,128.737291934,36.561037022,36.5584306,128.721505
용상119안전센터,경상북도 안동시 마들6길 27,경상북도 안동시 마들6길 27,128.761830231,36.550646662,36.55048,128.76109
풍산119안전센터,경상북도 안동시 풍산읍 풍산태사로 1162,경상북도 안동시 풍산읍 풍산태사로 1162,128.581962505,36.580505365,36.5871116,128.5517043
옥동119안전센터,경상북도 안동시 광명로 85,경상북도 안동시 광명로 85,128.694255772,36.558724794,36.5577577,128.6905016
도산119안전센터,경상북도 안동시 도산면 퇴계로 2171,경상북도 안동시 도산면 퇴계로 2171,128.824552264,36.710372040,36.7591035,128.8347626
청송119안전센터,경상북도 청송군 청송읍 길안청송로 1630,경상북도 청송군 청송읍 길안청송로 1630,129.041896235,36.433876099,36.43432,129.03854
진보119안전센터,경상북도 청송군 진보면 청송로 6346,경상북도 청송군 진보면 청송로 6346,129.039566478,36.521277239,36.5055297,129.0355295
영양119안전센터,경상북도 영양군 영양읍 군민회관길 42-14,경상북도 영양군 영양읍 군민회관길 42-14,129.116475594,36.659518055,36.6595306168991,129.11647700759
입암119안전센터,경상북도 영양군 입암면 입암로 153,경상북도 영양군 입암면 입암로 153,129.087192219,36.598099013,36.59885,129.08678
공단119안전센터,경상북도 구미시 수출대로 112,경상북도 구미시 수출대로 112,128.376534389,36.110540125,36.1108886,128.3756152
송정119안전센터,경상북도 구미시 백산로 207,경상북도 구미시 백산로 207,128.351033800,36.114228316,36.1234589,128.3365996
원평119안전센터,경상북도 구미시 산업로 174,경상북도 구미시 산업로 174,128.340637481,36.128683098,36.1300028,128.3388905
봉곡119안전센터,경상북도 구미시 봉곡동로 48,경상북도 구미시 봉곡동로 48,128.315395133,36.154655249,36.1536205,128.3148572
인동119안전센터,경상북도 구미시 이계북로 147,경상북도 구미시 이계북로 147,128.418380411,36.106103773,36.1055788,128.4023045
선산119안전센터,경상북도 구미시 선산읍 선산대로 1400-13,경상북도 구미시 선산읍 선산대로 1400-13,128.304996775,36.239449013,36.238238,128.3027271
고아119안전센터,경상북도 구미시 고아읍 선산대로 821,경상북도 구미시 고아읍 선산대로 821,128.339437178,36.199611775,36.2147527,128.3200111
해평119안전센터,경상북도 구미시 해평면 강동로 1663,경상북도 구미시 해평면 강동로 1663,128.391091704,36.198920125,36.2421,128.35007
상림119안전센터,경상북도 구미시 상림로 45,경상북도 구미시 상림로 45,128.360358403,36.090013910,36.1016223,128.3630006
옥계119안전센터,경상북도 구미시 산동면 산호대로41길 4,경상북도 구미시 산동면 산호대로41길 4,,,36.1388358600764,128.439443684298
문수119안전센터,경상북도 영주시 문수면 적서로448번길 17,경상북도 영주시 문수면 적서로448번길 17,128.633100833,36.791995979,36.7919759999712,128.633121885404
가흥119안전센터,경상북도 영주시 선비로 181,경상북도 영주시 선비로 181,128.618984401,36.820846251,36.8300684,128.6151256
풍기119안전센터,경상북도 영주시 풍기읍 기주로 159,경상북도 영주시 풍기읍 기주로 159,128.519084116,36.873221778,36.8703447,128.5248245
봉화119안전센터,경상북도 봉화군 봉화읍 문수로 42,경상북도 봉화군 봉화읍 문수로 42,128.735760796,36.900189069,36.9195187,128.7385881
춘양119안전센터,경상북도 봉화군 춘양면 소천로 22,경상북도 봉화군 춘양면 소천로 22,128.920950704,36.921782964,36.9217843,128.9205138
